K,accepted_updates,converged,eR,ep,error,failed,init_eR,init_ep,iterations,method,rho,rot_improv_vs_init_pct,runtime_sec,seed,source,trans_improv_vs_init_pct
10,,,0.26311753214061734,0.014594519519326426,,False,0.26311753214061734,0.014594519519326426,0,B0-Initial,15.088028874174563,0.0,2.0784377499949187,42,,0.0
10,,False,0.2984980185242914,0.010206422420243173,,False,0.26311753214061734,0.014594519519326426,6,B1-LieGN-LM-MAP,14.104010733851828,-13.446647243850617,15.7677967089694,42,,30.066745899187875
10,,,0.28901438063618956,0.008429957815259419,,False,0.26311753214061734,0.014594519519326426,1,B2-Tangent-Gaussian-Laplace,16.028656820793856,-9.842312021128347,4.19224579189904,42,,42.238880806618816
10,,,0.3220156443758968,0.008332921282631934,,False,0.26311753214061734,0.014594519519326426,1,B3-Decoupled-local-Gaussian,15.733326575507983,-22.38471596936485,4.228994624922052,42,,42.903764172590456
10,20,False,0.25666938208967843,0.0009395530235866228,,False,0.2631175321406172,0.014594519519326426,20,Proposed-Alg2-refinement,6.056194853624535,2.450672898335306,711.2488667964935,42,saved_experiment2C_false_confidence,93.56228875954125
10,,,0.26311753214061734,0.014594519519326426,,False,0.26311753214061734,0.014594519519326426,0,B0-Initial,15.782099486453047,0.0,2.1059860000386834,43,,0.0
10,,False,0.4136060069120014,0.007966584743229591,,False,0.26311753214061734,0.014594519519326426,6,B1-LieGN-LM-MAP,12.59397058580209,-57.19439276701593,17.026909499894828,43,,45.41386078054819
10,,,0.30446732863598375,0.009871003581617714,,False,0.26311753214061734,0.014594519519326426,1,B2-Tangent-Gaussian-Laplace,15.967464989843544,-15.715333052480869,4.384811541996896,43,,32.364997912084156
10,,,0.3259647117427487,0.00967346252709782,,False,0.26311753214061734,0.014594519519326426,1,B3-Decoupled-local-Gaussian,16.253508106525924,-23.885591769895477,4.321113750105724,43,,33.718526914928724
10,20,False,0.24143373342451763,0.0012016074282199373,,False,0.2631175321406172,0.014594519519326426,20,Proposed-Alg2-refinement,7.346890325636186,8.24110751559922,709.0709512233734,43,saved_experiment2C_false_confidence,91.76672156538802
10,,,0.26311753214061734,0.014594519519326426,,False,0.26311753214061734,0.014594519519326426,0,B0-Initial,14.863566554349116,0.0,2.090624624863267,44,,0.0
10,,True,0.3096890473618486,0.009621669043558774,,False,0.26311753214061734,0.014594519519326426,4,B1-LieGN-LM-MAP,14.05065778811342,-17.699890555503593,10.638441750081256,44,,34.07341001656464
10,,,0.30994678782007246,0.00959489372179676,,False,0.26311753214061734,0.014594519519326426,1,B2-Tangent-Gaussian-Laplace,14.04246215030782,-17.797846953971984,4.200717333005741,44,,34.256871498297954
10,,,0.3425238110876952,0.009452260981305033,,False,0.26311753214061734,0.014594519519326426,1,B3-Decoupled-local-Gaussian,13.537233152669936,-30.179014792766047,4.215878291986883,44,,35.23417493266487
10,20,False,0.23764817028232094,0.0010400275426654378,,False,0.2631175321406172,0.014594519519326426,20,Proposed-Alg2-refinement,6.61970967084096,9.679842179685984,714.1344518661499,44,saved_experiment2C_false_confidence,92.8738486985597
10,,,0.26311753214061734,0.014594519519326426,,False,0.26311753214061734,0.014594519519326426,0,B0-Initial,15.21085046612657,0.0,2.095358750084415,45,,0.0
10,,True,0.30355833436708857,0.010671923252303579,,False,0.26311753214061734,0.014594519519326426,4,B1-LieGN-LM-MAP,14.15244281899517,-15.369862242725254,11.271353125106543,45,,26.87718675375676
10,,,0.30365318533675484,0.010717536159845352,,False,0.26311753214061734,0.014594519519326426,1,B2-Tangent-Gaussian-Laplace,14.137944326619905,-15.405911140301404,4.270910582970828,45,,26.56465226105646
10,,,0.3407033492619072,0.010750571600705923,,False,0.26311753214061734,0.014594519519326426,1,B3-Decoupled-local-Gaussian,13.920870825195028,-29.4871331796415,4.220968540990725,45,,26.338297150038077
10,20,False,0.24028891230240834,0.0009170386751948338,,False,0.2631175321406174,0.014594519519326426,20,Proposed-Alg2-refinement,6.685796918273864,8.676206276520105,655.717166185379,45,saved_experiment2C_false_confidence,93.71655453281302
10,,,0.26311753214061734,0.014594519519326426,,False,0.26311753214061734,0.014594519519326426,0,B0-Initial,15.842711211961369,0.0,2.123244083020836,46,,0.0
10,,True,0.3010516714542003,0.007882802839324797,,False,0.26311753214061734,0.014594519519326426,4,B1-LieGN-LM-MAP,14.253135932108968,-14.417184216105339,10.617001499980688,46,,45.9879249269824
10,,,0.3011099446981633,0.007851551909399082,,False,0.26311753214061734,0.014594519519326426,1,B2-Tangent-Gaussian-Laplace,14.233186335521546,-14.439331445706088,4.241614375030622,46,,46.20205277054951
10,,,0.34853156160320403,0.007756316042130797,,False,0.26311753214061734,0.014594519519326426,1,B3-Decoupled-local-Gaussian,13.719200243485709,-32.46231019563495,4.460670792032033,46,,46.85459818077813
10,20,False,0.2533645043303171,0.0012906872581530326,,False,0.2631175321406174,0.014594519519326426,20,Proposed-Alg2-refinement,7.182307235164804,3.706719096577724,646.2645418643951,46,saved_experiment2C_false_confidence,91.1563566279529
