seed,state_id,outer_t,source,branch,rho,s_rot,delta_J_abs_F,delta_J_rel_F,eta_J_2,delta_nu,cond_J_nu,cond_J_post
42,0,-1,initial_refresh,,21.84372075588075,7.403768494358642,476.464946218434,2.292393041318259,3.367684407611671,61.131886769297715,1.0000000000321991,2.2153252731078843
42,1,0,accepted_update,full,20.41847904111301,8.028651200683361,448.91942679104886,2.160119019929478,3.1043265340809185,45.01845928132893,1.0001767147118272,1.9802001060616716
42,2,1,accepted_update,full,19.18283554178106,9.601875950122425,400.6593338806539,1.9302638442668316,2.5760813899779587,48.654670882316296,1.0020188881912087,1.477479558863629
42,3,2,accepted_update,full,17.10314026457755,6.775020610431064,357.6549393225169,1.7293559264956662,2.1293392892631786,62.98664263128958,1.0075267676056923,1.2483135209886227
42,4,3,accepted_update,trans,16.485402941702525,2.85482413551322,346.2554867546363,1.6742365678943896,2.0669922654887176,52.005586955199206,1.0075267676125081,1.2074553618598385
42,5,4,accepted_update,full,16.004242097837825,1.9368460081854135,343.5359962163353,1.665934039226776,2.0532592578608657,33.97620500863373,1.011987876139577,1.1036499819845562
42,6,5,accepted_update,full,15.787037903523292,1.801367654164298,345.28908834332714,1.6769576372264012,2.0734490631487352,35.32522594185473,1.0143088472009867,1.0940268342378947
42,7,6,accepted_update,rot,15.734891002197735,2.0082969087132496,342.85729042918615,1.6697362589128686,2.056347224327112,26.87132921185546,1.0185819960446538,1.0697576127760648
42,8,7,accepted_update,full,15.705828962048292,1.7324674824054245,342.69390939530103,1.6701022720445293,2.087806561253385,29.58606968937571,1.0196684126582767,1.0689863163967863
42,9,8,accepted_update,full,15.685264801079578,1.5915320921408806,342.60371097736794,1.6700542462923933,2.087861038739109,27.503505301647998,1.0200350735653192,1.0707995312243386
42,10,9,accepted_update,rot,15.682491396013923,1.9029399007844126,341.9461204355339,1.667946174793962,2.0806607749434733,29.861265674705326,1.0210657390978788,1.065082819743915
42,11,10,accepted_update,trans,15.668830419662589,1.571315678615603,341.6569666606318,1.6665357393363882,2.0792000907123533,29.205249471440624,1.0210657390939943,1.0663153641869312
42,12,11,accepted_update,fallback,15.322471211402883,0.31060577635785985,81.32636373330828,0.5659662054077991,1.6801535484625356,71.45416453168104,2.4911065783074693,2.3221832678278616
42,13,12,accepted_update,full,13.088554159021875,0.012851521663653765,52.32924860154009,0.3126586030041112,0.552472445188569,33.771668276915186,1.5043947129225548,1.5032022454025702
42,14,13,accepted_update,rot,12.735669035265545,0.06456919598383991,306.6828878223033,1.6654473949225068,1.9268781192121511,10.885126549684358,1.2257242887733644,1.2175478838754905
42,15,14,accepted_update,full,12.29263442905362,0.026891992489045648,309.8412552160274,1.5962887275318456,1.897228546680287,18.32145840496226,1.1152435570619166,1.1177480185951527
43,0,-1,initial_refresh,,22.92673635545501,7.403768494358642,478.0938975153889,2.300230336899861,3.3689970463900307,80.72575159227704,1.0000000000321991,2.173374430205027
43,1,0,accepted_update,full,19.51409195520149,8.859204754644065,427.52477016875446,2.0594287206134654,2.8566761302358334,92.86726254651968,1.001824933386004,1.6662998066701156
43,2,1,accepted_update,full,18.79106176262368,11.45092817655174,441.48362609071347,2.1305823783576483,2.9587378421724346,113.47531512722163,1.0046007155844825,1.6501480481603605
43,3,2,accepted_update,full,18.053253451303988,6.841139042322408,343.4506119356965,1.6739171229197167,2.0707019893052023,16.50420552703575,1.0197871158615006,1.1912050303132584
