K,converged,eR,ep,error,failed,init_eR,init_ep,iterations,method,repeat,rho,rho_init,rho_reduction_vs_init_pct,rot_improv_vs_init_pct,runtime_sec,s_rot,seed,trans_improv_vs_init_pct
10,True,0.26392987149373454,0.017156481798624015,,False,0.26311753214061717,0.014594519519326426,5,B4-Proposed-srot-screened,,6.762033038277047,6.787456450278774,0.3745646427047461,-0.30873630750049286,2.518580875126645,0.02318382842867399,42,-17.554276287787175
10,False,0.26475462829965557,0.01737014685815588,,False,0.26311753214061717,0.014594519519326426,5,B4-Uniform,,7.331062583064505,7.392838138905642,0.8356135313721503,-0.6221919709111171,2.5096192921046168,0.0009634780849631371,42,-19.01828515254578
10,False,0.2640592540564607,0.017098450027762488,,False,0.26311753214061717,0.014594519519326426,5,B4-ForceMagnitude,,6.225380935497314,6.251546232171253,0.4185412008838623,-0.3579092233733162,2.508866790914908,0.021456295468261444,42,-17.156649145731006
10,True,0.2633515372903567,0.015994635728510013,,False,0.26311753214061717,0.014594519519326426,3,B4-RandomK,0,6.1935171495890415,6.2036552343752245,0.1634211509692956,-0.08893559765317233,1.5474076671525836,0.00598850085545452,42,-9.593438189791163
