K,accepted_updates_mean,accepted_updates_std,eR_mean,eR_std,ep_mean,ep_std,failure_rate_pct,init_eR_mean,init_eR_std,init_ep_mean,init_ep_std,method,n,rho_init_mean,rho_init_std,rho_mean,rho_reduction_vs_init_pct_mean,rho_reduction_vs_init_pct_std,rho_std,rot_improv_vs_init_pct_mean,rot_improv_vs_init_pct_std,runtime_sec_mean,runtime_sec_std,trans_improv_vs_init_pct_mean,trans_improv_vs_init_pct_std
10,,,0.26311753214061717,0.0,0.014594519519326426,0.0,0.0,0.26311753214061717,0.0,0.014594519519326426,0.0,B0-Initial,1,6.787456450278774,0.0,6.787456450278774,0.0,0.0,0.0,0.0,0.0,0.02846745797432959,0.0,0.0,0.0
10,,,0.26392987149373454,0.0,0.017156481798624015,0.0,0.0,0.26311753214061717,0.0,0.014594519519326426,0.0,B1-LieGN-MAP,1,6.787456450278774,0.0,6.762033038277047,0.3745646427047461,0.0,0.0,-0.30873630750049286,0.0,2.4550167499110103,0.0,-17.554276287787175,0.0
10,,,0.2644423885211022,0.0,0.016960430041022285,0.0,0.0,0.26311753214061717,0.0,0.014594519519326426,0.0,B2-Tangent-Gaussian,1,6.787456450278774,0.0,6.76884575574248,0.2741924706644662,0.0,0.0,-0.5035226538142575,0.0,0.5055825829040259,0.0,-16.21095177928168,0.0
10,,,0.2652380184831655,0.0,0.016962496475763058,0.0,0.0,0.26311753214061717,0.0,0.014594519519326426,0.0,B3-Decoupled-local,1,6.787456450278774,0.0,6.768807505759789,0.2747560099368097,0.0,0.0,-0.8059084186815457,0.0,0.5029444999527186,0.0,-16.225110756821408,0.0
10,2.0,0.0,0.3280005153662411,0.0,0.014594519519326426,0.0,0.0,0.26311753214061717,0.0,0.014594519519326426,0.0,Proposed-Alg2-refinement,1,6.787456450278774,0.0,6.783512308372731,0.05810927753180785,0.0,0.0,-24.659315818965908,0.0,12.420978041831404,0.0,0.0,0.0
