K,accepted_updates_mean,accepted_updates_std,eR_mean,eR_std,ep_mean,ep_std,failure_rate_pct,init_eR_mean,init_eR_std,init_ep_mean,init_ep_std,iterations_mean,iterations_std,method,n,rho_mean,rho_std,rot_improv_vs_init_pct_mean,rot_improv_vs_init_pct_std,runtime_sec_mean,runtime_sec_std,trans_improv_vs_init_pct_mean,trans_improv_vs_init_pct_std
10,,,0.26311753214061734,0.0,0.014594519519326426,0.0,0.0,0.26311753214061734,0.0,0.014594519519326426,0.0,0.0,0.0,B0-Initial,5,15.357451318612934,0.43410990959413187,0.0,0.0,2.098730241600424,0.016899908616551666,0.0,0.0
10,,,0.32528061572388606,0.04954966824572298,0.009269880459731983,0.0012834673830486411,0.0,0.26311753214061734,0.0,0.014594519519326426,0.0,4.8,1.0954451150103321,B1-LieGN-LM-MAP,5,13.830843571774295,0.69544055910267,-23.625595405040144,18.831762308884176,13.064300516806544,3.0862552226423854,36.48382567540797,8.794173602968167
10,,,0.3016383254254328,0.0077578449846834535,0.009292988637583665,0.0011486019371635514,0.0,0.26311753214061734,0.0,0.014594519519326426,0.0,1.0,0.0,B2-Tangent-Gaussian-Laplace,5,14.881942924617334,1.0213297594227286,-14.640146922717738,2.9484333185891414,4.258059924980626,0.07765507212645105,36.32549104972138,7.870090794304971
10,,,0.3359478156142904,0.011379556649747699,0.009193106486774301,0.0011755728312049759,0.0,0.26311753214061734,0.0,0.014594519519326426,0.0,1.0,0.0,B3-Decoupled-local-Gaussian,5,14.632827780676916,1.2628962633674172,-27.679753181460562,4.324894870048471,4.289525200007484,0.1049720001279515,37.009872270200056,8.05489231521636
10,20.0,0.0,0.2458809404858485,0.00853260123186824,0.0010777827855639728,0.00016357907190278897,0.0,0.2631175321406173,9.205483015737869e-17,0.014594519519326426,0.0,20.0,0.0,Proposed-Alg2-refinement,5,6.778179800708071,0.5103088004548717,6.5509095933436665,3.242885855020932,687.2871955871582,33.35038883341323,92.61515403685097,1.1208253323185629
